# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2134.4000 M999 1644852 1 184.1134 dtn1_7 ADB2 136 N dtn1_7->ADB2
2140.1000 M839 1413418 1 514.2633 dtn1_7 ADB2 131 N dtn1_7->ADB2
2146.3000 M1075 1543643 1 21.7074 dtn1_7 ADB2 139 N dtn1_7->ADB2
2156.7000 M969 2597624 2 273.0953 dtn1_8 ADB2 135 N dtn1_8->dtn1_7->ADB2
2162.9000 M941 1543036 1 324.6723 dtn1_7 ADB2 134 N dtn1_7->ADB2
2169.4000 M1089 1612890 1 10.5889 dtn1_7 ADB2 139 N dtn1_7->ADB2
2169.9000 M1012 1172441 4 194.5589 dtn2_13 ADB2 136 N dtn2_13->ADB3->WIFI_5->WIFI_4->ADB2
2170.7000 M911 1828597 4 397.1267 dtn2_13 ADB2 133 N dtn2_13->ADB3->WIFI_5->WIFI_4->ADB2
2185.8000 M1006 1146311 1 223.1849 dtn1_10 ADB2 136 N dtn1_10->ADB2
2191.4000 M963 1390871 1 312.0482 dtn1_10 ADB2 134 N dtn1_10->ADB2
2201.5000 M1007 2513888 1 236.0805 dtn1_10 ADB2 136 N dtn1_10->ADB2
